id,business_name,email,phone,website,address,city,state,google_rating,google_review_count,trust_score,tier,verticals
1019,"180 Roofing & Contracting, LLC",,(214) 814-4004,http://180roofing.com/,"3939 US-80 390 D2, Mesquite, TX 75150, United States",Mesquite,TX,4.7,46,0,unranked,Patio Covers
1135,1A ROOFING & CONSTRUCTION,,(817) 203-4546,https://oneaconstruction.com/,"2450 Lakeside Pkwy ste 150-193, Flower Mound, TX 75022, United States",Flower Mound,TX,5,18,0,unranked,Patio Covers
313,"1UP Construction, LLC",contact@1upconstructionllc.com,(682) 777-1556,https://1upconstructionllc.com/,"130 E Bardin Rd #142, Arlington, TX 76018, United States",Arlington,TX,4.9,36,0,unranked,Patio Covers
1189,1n20 Home Services,,(214) 215-4830,https://www.1n20homeservices.com/,"2602 Boulder Dr, Corinth, TX 76210, United States",Corinth,TX,4.9,40,0,unranked,Patio Covers
1296,24-7 Restoration and Roofing,,(682) 999-8732,https://www.247roofingsolutions.com/,"400 Industrial Blvd # 202, Mansfield, TX 76063, United States",Mansfield,TX,4.8,83,0,unranked,Patio Covers
947,3-R Roofing Company,,(682) 202-3203,https://3rroofing.net/,"2005 Dodge Trail, Grand Prairie, TX 75052, United States",Grand Prairie,TX,5,15,0,unranked,Patio Covers
992,360 Innovations Roofing | Richardson TX Roofing Pros,360roofco@gmail.com,(214) 402-6943,https://www.mydfwroofing.com/,"1110 West Shore Dr Suite 400, Richardson, TX 75080, United States",Richardson,TX,4.7,59,0,unranked,Patio Covers
281,3:16 Roofing and Construction,,(817) 402-7663,https://www.316roofingtx.com/,"424 Keller Pkwy, Keller, TX 76248, United States",Keller,TX,4.9,231,0,unranked,Patio Covers
1161,3G Roofing & Construction,info@3g-roofing.com,(817) 939-8524,http://www.3g-roofing.com/,"6805 Main St ste 430-620, The Colony, TX 75056, United States",The Colony,TX,5,12,0,unranked,Patio Covers
1353,4 U Roofing and Construction,damasio@4uroofing.us,(469) 620-0010,https://www.4uroofing.us/,"610 Uptown Blvd ste 2000, Cedar Hill, TX 75104, United States",Cedar Hill,TX,5,65,0,unranked,Patio Covers; Motorized Shades
1373,4 U Roofing and Construction,damasio@4uroofing.us,(469) 620-0010,https://www.4uroofing.us/contact,"226 Yale Blvd, Glenn Heights, TX 75154, United States",Lancaster,TX,5,36,0,unranked,Patio Covers
1274,41 Roofing & Restoration,,(817) 266-9433,https://41roofing.com/,"208 E Main St Suite D, Crowley, TX 76036, United States",Crowley,TX,4.9,62,0,unranked,Patio Covers
1244,5 Star Texas Roofing,filler@godaddy.comhomeabout,(817) 771-1445,https://www.5startexasroofing.com/,"1001 Kennedy Ln #310, Saginaw, TX 76131, United States",Saginaw,TX,5,27,0,unranked,Patio Covers
909,5P Roofing & Construction,webmaster@5proofing.com,(817) 964-2528,https://5proofing.com/,"11983 FM2331 ste 110, Godley, TX 76044, United States",Cleburne,TX,4.9,47,0,unranked,Patio Covers
926,911 Exteriors Roofing and Construction,,(972) 243-6700,https://www.911exteriors.com/,"2302 Parkside Ave, Irving, TX 75061, United States",Irving,TX,4.9,351,0,unranked,Patio Covers
1094,99 Roofing LLC,jeff@99roofing.com,(214) 546-0423,http://www.99roofing.com/,"15936 Alvarado Dr, Prosper, TX 75078, United States",Prosper,TX,5,28,0,unranked,Patio Covers
703,A & M Pool Service & Repair,info@ampoolservicerepair.com,(214) 399-7347,http://ampoolservicerepair.com/?utm_source=gmb&utm_medium=referral,"1210 N Creek Cir, Waxahachie, TX 75165, United States",Waxahachie,TX,4.8,42,0,unranked,Pool
721,A AND A Fence & Concrete,,(817) 518-2494,https://aanda.com/?utm_campaign=gmb,"3638 W Pioneer Pkwy, Arlington, TX 76013, United States",Arlington,TX,4.7,110,0,unranked,Pool
155,A Affordable Aluminum,,(713) 936-2233,https://www.aaffordablealuminum.com/,"101 Ketchum Dr, Angleton, TX 77515, United States",Arlington,TX,4.8,50,0,unranked,Pool
620,A Better Pool Service,service@abetterpoolservice.com,(214) 347-8016,http://www.abetterpoolservice.com/,"610 E Main St #405, Allen, TX 75002, United States",Allen,TX,4.4,38,0,unranked,Pool
1444,A Blind Solution,,(817) 295-8959,,"3516 E Renfro St, Burleson, TX 76028, United States",Burleson,TX,4,4,0,unranked,Motorized Shades
585,A Oasis Pools and Outdoor Living,,(972) 515-3546,http://www.aoasistx.com/,"6130 Old Buena Vista Rd Suite 120, Waxahachie, TX 75167, United States",Midlothian,TX,4.6,196,0,unranked,Pool
973,"A Plus A Construction and Roofing, LLC",,(972) 836-4673,https://www.aplusacr.com/,"450 Century Pkwy Ste 250, Allen, TX 75013, United States",Allen,TX,5,9,0,unranked,Patio Covers
1480,A Plus Home Improvement LLC,info@ahomeimprovement.com,(918) 289-8283,http://ahomeimprovement.com/,"1990 Cornell Dr, Prosper, TX 75078, United States",Prosper,TX,4.6,10,0,unranked,Motorized Shades
199,A Plus Home Remodel,,(817) 657-5600,https://aplushomeremodel.com/?utm_source=google&utm_medium=gmb&utm_campaign=seo,"1922 W Pioneer Pkwy Ste F, Arlington, TX 76013, United States",Arlington,TX,4.9,67,0,unranked,Patio Covers
362,A Plus Shutters & Shades,,(682) 837-4233,https://www.shuttersandshadesnearme.com/?utm_source=google&utm_medium=gmb&utm_campaign=seo,"1922 W Pioneer Pkwy Ste F, Pantego, TX 76013, United States",Fort Worth,TX,5,35,0,unranked,Motorized Shades
299,A Star Roofing of Texas,asroftx@gmail.com,(469) 344-0020,https://www.astarroofingoftexas.com/,"7601 Circle Dr, Fort Worth, TX 76180, United States",North Richland Hills,TX,5,66,0,unranked,Patio Covers
501,A Veterans Pool Company Wylie,bigsarge@aveteranspoolcompany.com,(469) 981-7665,https://aveteranspoolcompany.com/wylie/,"1908 Edward Dr, Wylie, TX 75098, United States",Wylie,TX,4.6,11,0,unranked,Pool
950,"A and E Roofing & Remodel LLC, Grand Praire TX",info@aeroofremodel.com,(469) 371-9525,https://aeroofremodel.com/,"2202 113th St, Grand Prairie, TX 75050, United States",Grand Prairie,TX,5,4,0,unranked,Patio Covers
625,A&E Glass,,(214) 643-2807,,"4221 Rosehill Rd, Garland, TX 75043, United States",Garland,TX,4,50,0,unranked,Pool
873,A&M Construction,,(877) 267-6634,http://amroofer.com/,"611 Ferris Rd, Lancaster, TX 75146, United States",Lancaster,TX,5,1,0,unranked,Patio Covers
720,A&O Texas Solutions Corporate Offices,fencing@aotexassolutions.com,(817) 287-9853,https://www.aotexassolutions.com/,"5312 Park Springs Blvd Ste 140, Arlington, TX 76017, United States",Arlington,TX,5,1,0,unranked,Pool
227,A&O Texas Solutions Fence and Patio DFW,fencing@aotexassolutions.com,(817) 287-9853,https://aotexassolutions.com/,"7407 Commercial Blvd E, Arlington, TX 76001, United States",Arlington,TX,4.7,261,0,unranked,Patio Covers
1495,A&W Construction,contact@hello.com,(817) 992-7766,https://awremodel.com/,"634 W Bedford Euless Rd Suite F, Hurst, TX 76053, United States",Hurst,TX,5,3,0,unranked,Motorized Shades
861,A&m roofing & remodeling,,(682) 459-4099,,"902 Poindexter Ave, Cleburne, TX 76031, United States",Cleburne,TX,5,18,0,unranked,Patio Covers
1383,A+ Blinds,info@aplusblinds.net,(817) 726-9517,http://www.aplusblindsdfw.com/,"5020 Judy Dr, Midlothian, TX 76065, United States",Grand Prairie,TX,4.9,36,0,unranked,Motorized Shades
648,A-Affordable Pool & Spa Service,,(214) 234-8982,http://aaffordablepoolspa.com/,"1616 W Hebron Pkwy Suite 104 Ste. 104, Carrollton, TX 75010, United States",Carrollton,TX,4.6,274,0,unranked,Pool
1475,A-N-D CONSTRUCTION LLC,,(214) 878-9522,http://www.andconstruction.com/,"2801 E Farm To Market 544 #107, Wylie, TX 75098, United States",Wylie,TX,5,3,0,unranked,Motorized Shades
66,A-Quality Pools,,(817) 281-0781,http://aqualitypools.com/,"8001 Blvd 26, North Richland Hills, TX 76180, United States",North Richland Hills,TX,4.3,236,0,unranked,Pool
